image_name,category
0.jpg,103
1.jpg,48
2.jpg,64
3.jpg,44
4.jpg,49
5.jpg,110
6.jpg,42
7.jpg,12
8.jpg,12
9.jpg,114
10.jpg,0
11.jpg,103
12.jpg,99
13.jpg,77
14.jpg,70
15.jpg,60
16.jpg,83
17.jpg,120
18.jpg,27
19.jpg,42
20.jpg,36
21.jpg,108
22.jpg,98
23.jpg,109
24.jpg,32
25.jpg,8
26.jpg,99
27.jpg,43
28.jpg,49
29.jpg,42
30.jpg,4
31.jpg,131
32.jpg,4
33.jpg,115
34.jpg,110
35.jpg,37
36.jpg,109
37.jpg,4
38.jpg,85
39.jpg,12
40.jpg,103
41.jpg,14
42.jpg,103
43.jpg,124
44.jpg,69
45.jpg,3
46.jpg,47
47.jpg,58
48.jpg,103
49.jpg,115
50.jpg,7
51.jpg,85
52.jpg,33
53.jpg,22
54.jpg,98
55.jpg,30
56.jpg,95
57.jpg,125
58.jpg,108
59.jpg,37
60.jpg,120
61.jpg,98
62.jpg,5
63.jpg,12
64.jpg,97
65.jpg,88
66.jpg,22
67.jpg,108
68.jpg,36
69.jpg,102
70.jpg,30
71.jpg,70
72.jpg,110
73.jpg,121
74.jpg,131
75.jpg,85
76.jpg,26
77.jpg,12
78.jpg,115
79.jpg,81
80.jpg,12
81.jpg,67
82.jpg,32
83.jpg,12
84.jpg,32
85.jpg,119
86.jpg,43
87.jpg,50
88.jpg,40
89.jpg,45
90.jpg,94
91.jpg,49
92.jpg,12
93.jpg,12
94.jpg,85
95.jpg,30
96.jpg,12
97.jpg,78
98.jpg,69
99.jpg,72
100.jpg,109
101.jpg,99
102.jpg,42
103.jpg,55
104.jpg,5
105.jpg,130
106.jpg,82
107.jpg,64
108.jpg,5
109.jpg,112
110.jpg,49
111.jpg,25
112.jpg,89
113.jpg,42
114.jpg,120
115.jpg,110
116.jpg,12
117.jpg,12
118.jpg,16
119.jpg,54
120.jpg,125
121.jpg,57
122.jpg,37
123.jpg,98
124.jpg,64
125.jpg,78
126.jpg,131
127.jpg,30
128.jpg,73
129.jpg,44
130.jpg,98
131.jpg,12
132.jpg,49
133.jpg,95
134.jpg,54
135.jpg,1
136.jpg,104
